,Question,Options,Correct Answer
131,Paní Svobodová má nárok na starobní důchod. Která instituce v České republice vydá rozhodnutí o výši jejího důchodu?,"['A) Úřad práce.', 'B) Ministerstvo vnitra.', 'C) Ministerstvo zdravotnictví.', 'D) Česká správa sociálního zabezpečení.']",D
132,Který druh finanční pomoci nevyplácí Česká správa sociálního zabezpečení?,"['A) Mateřskou.', 'B) Nemocenskou.', 'C) Starobní důchod.', 'D) Podporu v nezaměstnanosti.']",D
133,"Pan Novák pracuje ve stavební firmě a v současné době je nemocný. Nedostává mzdu, ale peněžitou dávku. Jak se tato dávka jmenuje?","['A) Ošetřovné.', 'B) Nemocenská.', 'C) Příspěvek na živobytí.', 'D) Podpora v nezaměstnanosti.']",B
134,Panu Veselému je 64 let a dosáhl důchodového věku. Na České správě sociálního zabezpečení si požádal o důchod. Který doklad od něho nebude úřad vyžadovat?,"['A) Doklad o studiu.', 'B) Občanský průkaz.', 'C) Výpis z Rejstříku trestů.', 'D) Doklad o výkonu vojenské služby.']",C
135,Který úřad rozhoduje o přiznání dávek v hmotné nouzi?,"['A) Úřad práce.', 'B) Ministerstvo financí.', 'C) Charita České republiky.', 'D) Česká správa sociálního zabezpečení.']",A
136,"Panu Novákovi je 56 let a je nezaměstnaný. Jaká je nejdelší doba, po kterou může dostávat podporu v nezaměstnanosti?","['A) 6 měsíců.', 'B) 11 měsíců.', 'C) 18 měsíců.', 'D) 24 měsíců.']",B
137,Paní Nováková pracuje jako učitelka na základní škole a čeká své první dítě. Má 3 týdny před porodem. Kterou z těchto peněžitých dávek může dostat před narozením dítěte?,"['A) Porodné.', 'B) Ošetřovné.', 'C) Mateřskou.', 'D) Rodičovskou.']",C
138,Manželům Novotným se narodilo dítě. Na jak dlouho si podle zákona může vzít pan Novotný otcovskou dovolenou?,"['A) Na 5 dní.', 'B) Na 14 dní.', 'C) Na 31 dní.', 'D) Na 60 dní.']",B
139,Paní Nováková byla v evidenci nezaměstnaných na úřadu práce. Včera začala pracovat. Kterým z těchto způsobů ukončí své zařazení v evidenci nezaměstnaných?,"['A) Nemusí dělat nic.', 'B) Informuje o nové práci úřad práce.', 'C) Informuje o nové práci finanční úřad.', 'D) Oznámí vyřazení z evidence novému zaměstnavateli.']",B
140,Paní Novotná dává výpověď ze svého pracovního poměru. Jaká je délka výpovědní doby podle zákona?,"['A) Nejvíce 3 dny.', 'B) Nejvíce 15 dnů.', 'C) Nejméně 1 měsíc.', 'D) Nejméně 2 měsíce.']",D
141,Výpovědní doba se počítá ode dne doručení výpovědi. Jak dlouhá je výpovědní doba u dohody o pracovní činnosti (DPČ)?,"['A) 15 dní.', 'B) 30 dní.', 'C) 60 dní.', 'D) 90 dní.']",A
142,Který z těchto údajů musí být podle zákona v každém případě v pracovní smlouvě?,"['A) Pracovní doba.', 'B) Počet dnů dovolené.', 'C) Místo výkonu práce.', 'D) Termín výplaty mzdy.']",C
143,Paní Svobodová pracuje od 1. ledna jako zahradnice. S majitelem zahradnictví podepsala dohodu o provedení práce (DPP). Kolik hodin může odpracovat v tomto zahradnictví v jednom kalendářním roce?,"['A) Maximálně 150 hodin.', 'B) Maximálně 200 hodin.', 'C) Maximálně 250 hodin.', 'D) Maximálně 300 hodin.']",D
144,Pan Novák má zaměstnání na plný pracovní úvazek. Kolik hodin týdně musí podle zákona pracovat?,"['A) 35 hodin.', 'B) 40 hodin.', 'C) 45 hodin.', 'D) 50 hodin.']",B
145,Který zákon nebo zákoník upravuje vztah mezi zaměstnavatelem a zaměstnancem?,"['A) Živnostenský zákon.', 'B) Trestní zákoník.', 'C) Zákon o rodině.', 'D) Zákoník práce.']",D
146,"Pan Novák uzavřel s firmou Stavby, s. r. o., pracovní poměr na dobu určitou. Jakou nejdelší dobu může trvat tento nový pracovní poměr bez prodloužení?","['A) Jeden rok.', 'B) Dva roky.', 'C) Tři roky.', 'D) Čtyři roky.']",C
147,Paní Nováková má nové zaměstnání. Bude pracovat jako prodavačka. Získala pracovní smlouvu na dobu neurčitou s maximální zkušební dobou. Jaká bude podle zákona délka zkušební doby paní Novákové?,"['A) 3 měsíce.', 'B) 6 měsíců.', 'C) 9 měsíců.', 'D) 12 měsíců.']",A
148,Jaká je podle zákona délka týdenní pracovní doby v České republice?,"['A) 24 hodin.', 'B) 32 hodin.', 'C) 40 hodin.', 'D) 56 hodin.']",C
149,Jaká je výměra dovolené pro zaměstnance podle zákona?,"['A) Nejméně 2 týdny za kalendářní rok.', 'B) Nejméně 4 týdny za kalendářní rok.', 'C) Nejméně 6 týdnů za kalendářní rok.', 'D) Nejméně 8 týdnů za kalendářní rok.']",B
150,Pan Novák je osoba samostatně výdělečně činná (OSVČ). Jak se nazývají jeho příjmy?,"['A) Příjmy z důchodového připojištění.', 'B) Příjmy ze samostatné činnosti.', 'C) Příjmy ze závislé činnosti.', 'D) Příjmy z pronájmu bytu.']",B
151,Která práce není živnost?,"['A) Policejní služba.', 'B) Kadeřnické služby.', 'C) Průvodcovské služby.', 'D) Služby soukromého detektiva.']",A
152,Podnikatel založil firmu. Ke které z uvedených daní se musel zaregistrovat na finančním úřadě?,"['A) K dani z příjmů.', 'B) K dani spotřební.', 'C) K dani z nemovitosti.', 'D) K dani z přidané hodnoty.']",A
153,Které pojištění musí zaměstnavatel v České republice platit za své zaměstnance?,"['A) Životní pojištění.', 'B) Havarijní pojištění.', 'C) Zdravotní pojištění.', 'D) Důchodové připojištění.']",C
154,Pan Novák je majitelem obchodu s oděvy. Který úřad vydal panu Novákovi povolení k podnikání?,"['A) Okresní soud.', 'B) Finanční úřad.', 'C) Živnostenský úřad.', 'D) Ministerstvo práce a sociálních věcí.']",C
155,"Pan Malý se rozhodl podnikat jako malíř pokojů. Na úřadě požádal, aby mu vydali živnostenské oprávnění. Kolik zaplatí za ohlášení živnosti?","['A) 1 000 korun.', 'B) 5 000 korun.', 'C) 10 000 korun.', 'D) 15 000 korun.']",A
156,V obchodním rejstříku jsou informace o podnikatelích na území České republiky a je přístupný veřejnosti v online podobě. Která instituce zveřejňuje obchodní rejstřík v České republice?,"['A) Ministerstvo vnitra ČR.', 'B) Ministerstvo financí ČR.', 'C) Ministerstvo spravedlnosti ČR.', 'D) Ministerstvo průmyslu a obchodu ČR.']",C
157,Co nepatří mezi činnosti živnostenského úřadu?,"['A) Přijímat ohlášení živností.', 'B) Přijímat žádosti o koncesi.', 'C) Přijímat daňová přiznání podnikatelů.', 'D) Vydávat výpisy z živnostenského rejstříku.']",C
158,Pan Horák je truhlář a podniká jako osoba samostatně výdělečně činná (OSVČ). Které z těchto pojištění si musí pan Horák platit?,"['A) Pojištění majetku.', 'B) Zdravotní pojištění.', 'C) Nemocenské pojištění.', 'D) Pojištění odpovědnosti podnikatelů.']",B
159,Který z těchto dokumentů potřebuje občan k vykonávání volné živnosti?,"['A) Rodný list.', 'B) Výuční list.', 'C) Daňové přiznání.', 'D) Výpis ze živnostenského rejstříku.']",D
160,Jaké je mezinárodní postavení České republiky?,"['A) Je závislým územím Evropské unie.', 'B) Je součástí státu Rakousko-Uhersko.', 'C) Je jednou z částí federace Evropská unie.', 'D) Je nezávislou republikou a je členem Evropské unie.']",D
161,Česko se nachází v hlavním evropském rozvodí. Odtéká z něj voda řekami do tří moří. Do kterého moře se vlévá řeka Labe?,"['A) Do Černého moře.', 'B) Do Severního moře.', 'C) Do Baltského moře.', 'D) Do Jaderského moře.']",B
162,Kde pramení řeka Labe?,"['A) V Orlických horách.', 'B) V Krušných horách.', 'C) V Krkonoších.', 'D) Na Šumavě.']",C
163,Polabská nížina je největší nížina v Česku. Které číslo na mapě označuje Polabskou nížinu?,"['A) 1.', 'B) 2.', 'C) 3.', 'D) 4.']",A
164,Jaká je přibližně rozloha Česka?,"['A) 39 000 km2.', 'B) 79 000 km2.', 'C) 119 000 km2.', 'D) 159 000 km2.']",B
165,Která dvojice krajů se nachází ve východních Čechách?,"['A) Liberecký kraj a Ústecký kraj.', 'B) Ústecký kraj a Karlovarský kraj.', 'C) Plzeňský kraj a Karlovarský kraj.', 'D) Královéhradecký kraj a Pardubický kraj.']",D
166,Ve kterém klimatickém pásu se nachází Česká republika?,"['A) V mírném.', 'B) V polárním.', 'C) V tropickém.', 'D) V subtropickém.']",A
167,Nejvyšší hora Moravy se nachází v pohoří Hrubý Jeseník. Jak se tato hora jmenuje?,"['A) Plechý.', 'B) Praděd.', 'C) Sněžka.', 'D) Klínovec.']",B
168,Které státy sousedí s Českem?,"['A) Maďarsko, Německo, Rakousko, Ukrajina.', 'B) Maďarsko, Polsko, Rakousko, Slovensko.', 'C) Německo, Polsko, Rakousko, Slovensko.', 'D) Německo, Polsko, Ukrajina, Slovensko.']",C
169,Nejvyšší hora v České republice je Sněžka. Jakou má přibližně nadmořskou výšku?,"['A) 800 metrů nad mořem.', 'B) 1 600 metrů nad mořem.', 'C) 2 400 metrů nad mořem.', 'D) 3 200 metrů nad mořem.']",B
170,Kladruby nad Labem a okolní krajina byly v roce 2019 zapsány na seznam světového dědictví UNESCO. Čím je tato obec a její okolí známá?,"['A) Chovem koní.', 'B) Těžbou stříbra.', 'C) Bukovými lesy.', 'D) Termálními prameny.']",A
171,Který národní park leží na Moravě?,"['A) Národní park Podyjí.', 'B) Národní park Šumava.', 'C) Krkonošský národní park.', 'D) Národní park České Švýcarsko.']",A
172,V Česku se nachází několik významných center zimních sportů. Které z těchto míst je známé jako centrum zimních sportů?,"['A) Most.', 'B) Třeboň.', 'C) Poděbrady.', 'D) Špindlerův Mlýn.']",D
173,Jizerskohorské bučiny jsou od roku 2021 na seznamu světového dědictví UNESCO. Které číslo na mapě označuje tuto přírodní památku?,"['A) 1.', 'B) 2.', 'C) 3.', 'D) 4.']",C
174,"Orlík je přehrada, která zadržuje v Česku nejvíce vody. Jak se jmenuje řeka, na které se přehrada Orlík nachází?","['A) Labe.', 'B) Vltava.', 'C) Sázava.', 'D) Morava.']",B
175,Památná hora Čechů se nachází v Ústeckém kraji blízko Roudnice nad Labem. Jak se tato hora jmenuje?,"['A) Medvědín.', 'B) Klínovec.', 'C) Praděd.', 'D) Říp.']",D
176,V roce 2019 byla na seznam památek UNESCO zapsána hornická kulturní krajina Krušnohoří. Které číslo na mapě označuje tento region?,"['A) 1.', 'B) 2.', 'C) 3.', 'D) 4.']",B
177,Které město zapsané na seznamu UNESCO leží v jižních Čechách?,"['A) Třebíč.', 'B) Kroměříž.', 'C) Kutná Hora.', 'D) Český Krumlov.']",D
178,Jak se jmenuje nejvyšší pohoří na Moravě?,"['A) Krušné hory.', 'B) Krkonoše.', 'C) Jeseníky.', 'D) Šumava.']",C
179,Které lázeňské město se nachází ve středních Čechách?,"['A) Poděbrady.', 'B) Luhačovice.', 'C) Karlovy Vary.', 'D) Mariánské Lázně.']",A
180,Ve kterém městě sídlí Západočeská univerzita (ZČU)?,"['A) V Plzni.', 'B) V Ústí nad Labem.', 'C) V Karlových Varech.', 'D) V Českých Budějovicích.']",A
181,Jak se jmenuje největší letiště v České republice?,"['A) Praha-Kbely.', 'B) Brno-Tuřany.', 'C) Letiště Karlovy Vary.', 'D) Letiště Václava Havla Praha.']",D
182,"Kateřinu přijali ke studiu na Univerzitě Palackého, která je nejstarší univerzitou na Moravě. Ve městě, kde bude studovat, je také památka UNESCO – sloup Nejsvětější Trojice. Ve kterém městě bude Kateřina studovat?","['A) Ve Zlíně.', 'B) V Jihlavě.', 'C) V Olomouci.', 'D) V Pardubicích.']",C
183,"Kladno, Příbram a Mladá Boleslav jsou města, která se nacházejí v největším kraji České republiky. Ve kterém kraji se tato města nacházejí?","['A) V Ústeckém kraji.', 'B) Ve Zlínském kraji.', 'C) Ve Středočeském kraji.', 'D) V Jihomoravském kraji.']",C
184,Které město je centrem Moravskoslezského kraje?,"['A) Třebíč.', 'B) Jihlava.', 'C) Ostrava.', 'D) Pardubice.']",C
185,Které číslo na mapě označuje Olomoucký kraj?,"['A) 1.', 'B) 2.', 'C) 3.', 'D) 4.']",C
186,Perník je tradiční české pečivo s medem a kořením. Které město je slavné díky výrobě perníku?,"['A) Hořice.', 'B) Pardubice.', 'C) Karlovy Vary.', 'D) Mariánské Lázně.']",B
187,Univerzita Tomáše Bati se jmenuje po významném podnikateli a zakladateli obuvnické firmy. Ve kterém krajském městě tato univerzita sídlí?,"['A) V Brně.', 'B) Ve Zlíně.', 'C) V Ostravě.', 'D) V Pardubicích.']",B
188,Jihlava je krajské město a leží blízko dálnice D1. Ve kterém kraji je město Jihlava?,"['A) V Kraji Vysočina.', 'B) V Pardubickém kraji.', 'C) Ve Středočeském kraji.', 'D) V Moravskoslezském kraji.']",A
189,Pan Novák jede autem na služební cestu z Prahy do Děčína. Použije dálnici D8. Kolem kterého krajského města musí do Děčína projet?,"['A) Kolem Brna.', 'B) Kolem Pardubic.', 'C) Kolem Ústí nad Labem.', 'D) Kolem Českých Budějovic.']",C
190,Česko má bohaté zásoby podzemních minerálních vod. Pramen minerální vody Vincentka se nachází v lázních Luhačovice. Které číslo na mapě označuje město Luhačovice?,"['A) 1.', 'B) 2.', 'C) 3.', 'D) 4.']",C
191,Který národní park leží u hranice Česka s Polskem?,"['A) Národní park Podyjí.', 'B) Šumavský národní park.', 'C) Krkonošský národní park.', 'D) Národní park České Švýcarsko.']",C
192,Třídění odpadu pomáhá chránit životní prostředí. Kterou barvu má kontejner na papír?,"['A) Bílou.', 'B) Žlutou.', 'C) Modrou.', 'D) Zelenou.']",C
193,Černé a Čertovo jezero jsou největšími přírodními jezery v České republice. Nacházejí se na Šumavě. Které číslo na mapě označuje tuto oblast?,"['A) 1.', 'B) 2.', 'C) 3.', 'D) 4.']",C
194,Tříděný odpad se ukládá do barevných kontejnerů. Co nepatří do žlutého kontejneru?,"['A) Igelitové tašky.', 'B) Plastové nádobí.', 'C) PET láhve od nápojů.', 'D) Skleněné láhve od nápojů.']",D
195,Pan Svoboda třídí odpad. Co dává do modrého kontejneru?,"['A) Sklo.', 'B) Papír.', 'C) Plasty.', 'D) Bioodpad.']",B
196,Nejmenší národní park České republiky je Národní park Podyjí. Nachází se v povodí moravské řeky Dyje. Které číslo na mapě označuje tento národní park?,"['A) 1.', 'B) 2.', 'C) 3.', 'D) 4.']",C
197,Jeden ze čtyř národních parků Česka je známý skálami a Pravčickou bránou. Který národní park to je?,"['A) Národní park Podyjí.', 'B) Národní park Šumava.', 'C) Krkonošský národní park.', 'D) Národní park České Švýcarsko.']",D
198,Tříděný odpad se ukládá do barevných kontejnerů. Co patří do zeleného kontejneru?,"['A) Skleněné láhve.', 'B) Noviny a časopisy.', 'C) PET láhve od nápojů.', 'D) Použité elektrické přístroje.']",A
199,V Česku se nacházejí čtyři území s nejvyšším stupněm ochrany přírody. Jak se tato území nazývají?,"['A) Národní parky.', 'B) Přírodní rezervace.', 'C) Chráněné krajinné oblasti.', 'D) Ochranná pásma vodního zdroje.']",A
200,Kolik obyvatel má přibližně Česká republika?,"['A) 5,9 milionu.', 'B) 10,9 milionu.', 'C) 15,9 milionu.', 'D) 20,9 milionu.']",B
201,"Národnostní menšinou je skupina občanů České republiky, kteří se hlásí k jiné než české národnosti. Kdo tvoří největší národnostní menšinu v Česku?","['A) Poláci.', 'B) Němci.', 'C) Slováci.', 'D) Vietnamci.']",C
202,Kulturní region Haná je významnou zemědělskou oblastí a je známý lidovými zvyky. Které krajské město je centrem kulturního regionu Haná?,"['A) Ostrava.', 'B) Olomouc.', 'C) Hradec Králové.', 'D) České Budějovice.']",B
203,Která televize má podle zákona za úkol produkovat a vysílat vzdělávací programy a programy pro děti?,"['A) Česká televize.', 'B) Televize Nova.', 'C) Televize Prima.', 'D) Televize Barrandov.']",A
204,Kolik obyvatel má hlavní město Praha?,"['A) Přibližně 500 000.', 'B) Přibližně 1 400 000.', 'C) Přibližně  6 500 000.', 'D) Přibližně  10 900 000.']",B
205,"Toto město bylo a je historickým centrem českého Slezska. Nachází se zde Slezská univerzita, Slezské zemské muzeum i Slezské divadlo. Jak se město jmenuje?","['A) Brno.', 'B) Opava.', 'C) Jihlava.', 'D) Kroměříž.']",B
206,Které náboženství je v Česku nejrozšířenější?,"['A) Islám.', 'B) Judaismus.', 'C) Křesťanství.', 'D) Buddhismus.']",C
207,Chodsko je jedním z českých regionů s bohatými lidovými tradicemi a kroji. Chodsko se také proslavilo koláči a keramikou. Které číslo na mapě označuje chodský region?,"['A) 1.', 'B) 2.', 'C) 3.', 'D) 4.']",A
208,Které tvrzení odpovídá postavení žen v české společnosti?,"['A) Ženy nepracují v justici.', 'B) Ženy nepracují v armádě.', 'C) Ženy mají stejná práva jako muži.', 'D) Ženy mají omezené volební právo.']",C
209,Brno je největším městem Moravy a také druhým největším městem České republiky. Kolik obyvatel přibližně žije v Brně?,"['A) 100 000.', 'B) 400 000.', 'C) 720 000.', 'D) 1 360 000.']",B
210,Ve kterém kraji je atomová elektrárna Temelín?,"['A) V Ústeckém kraji.', 'B) V Jihočeském kraji.', 'C) V Jihomoravském kraji.', 'D) V Moravskoslezském kraji.']",B
211,Která z těchto měst spojuje dálnice D1?,"['A) Prahu a Pardubice.', 'B) Prahu a Liberec.', 'C) Prahu a Plzeň.', 'D) Prahu a Brno.']",D
212,"Jak se jmenuje slavný český podnik, který vyrábí klavíry?","['A) Amati.', 'B) Petrof.', 'C) Moser.', 'D) Koh-i-noor.']",B
213,V Kopřivnici se vyrábí nákladní automobily tradiční značky. Jak se tato značka jmenuje?,"['A) Tatra.', 'B) Zetor.', 'C) Škoda.', 'D) Karosa.']",A
214,Který pivovar vyrábí pivo značky Pilsner Urquell?,"['A) Starobrno.', 'B) Staropramen.', 'C) Plzeňský Prazdroj.', 'D) Budějovický Budvar.']",C
215,Značka Kofola patří od 60. let 20. století mezi tradiční české značky. Které výrobky mají označení Kofola?,"['A) Mléčné výrobky.', 'B) Sportovní oblečení.', 'C) Alkoholické nápoje.', 'D) Nealkoholické nápoje.']",D
216,Z Prahy do Ostravy vede nejdůležitější železniční trať v Česku. Kterým z těchto měst tato železniční trať prochází?,"['A) Brno.', 'B) Jihlava.', 'C) Liberec.', 'D) Olomouc.']",D
217,Které elektrárny vyrábí nejvíce elektrické energie v České republice?,"['A) Vodní.', 'B) Větrné.', 'C) Uhelné.', 'D) Solární.']",C
218,Která značka osobních automobilů se vyrábí ve městě Mladá Boleslav?,"['A) Hyundai.', 'B) Peugeot.', 'C) Škoda.', 'D) Tatra.']",C
219,Tradiční českou značkou je Becherovka. Ve kterém městě se tento alkoholický nápoj vyrábí?,"['A) V Plzni.', 'B) V Praze.', 'C) V Karlových Varech.', 'D) V Českých Budějovicích.']",C
220,"Jak se jmenuje mezinárodní vojenská organizace, která zajišťuje bezpečnost České republiky?","['A) NATO.', 'B) CEFTA.', 'C) Evropská unie.', 'D) Varšavská smlouva.']",A
221,Česká republika je členem Evropské unie. Které z těchto měst je sídlem hlavních orgánů Evropské unie?,"['A) Řím.', 'B) Paříž.', 'C) Brusel.', 'D) Londýn.']",C
222,V roce 2004 vstoupily do Evropské unie státy tzv. Visegrádské skupiny. Které čtyři státy tuto skupinu tvoří?,"['A) Česko, Polsko, Rakousko, Slovinsko.', 'B) Česko, Slovensko, Polsko, Německo.', 'C) Česko, Slovensko, Maďarsko, Polsko.', 'D) Česko, Slovensko, Maďarsko, Rakousko.']",C
223,Které město je sídlem Evropského soudu pro lidská práva?,"['A) Haag.', 'B) Brusel.', 'C) Štrasburk.', 'D) Lucemburk.']",C
224,V roce 2007 Česko vstoupilo do schengenského prostoru. Do které z těchto zemí může český občan cestovat bez kontroly na hranicích?,"['A) Do Turecka.', 'B) Do Německa.', 'C) Do Velké Británie.', 'D) Do Spojených států amerických.']",B
225,Evropskou unii nyní tvoří 27 států. Který stát vystoupil v roce 2020 z Evropské unie?,"['A) Česko.', 'B) Řecko.', 'C) Dánsko.', 'D) Velká Británie.']",D
226,"Jaké právo mají v Evropské unii její občané, a tedy i občané České republiky?","['A) Právo volit předsedu Evropské komise.', 'B) Právo volit poslance Evropského parlamentu.', 'C) Právo volit eurokomisaře za jednotlivé členské státy.', 'D) Právo hlasovat o přijímání nových států do Evropské unie.']",B
227,Evropská komise je výkonný orgán Evropské unie a řídí její politiku. Kolik zástupců má Česko v Evropské komisi?,"['A) 1.', 'B) 21.', 'C) 81.', 'D) 200.']",A
228,Česká republika je členem NATO. Které město je sídlem této organizace?,"['A) Paříž.', 'B) Brusel.', 'C) Ženeva.', 'D) Štrasburk.']",B
229,Vlajku Evropské unie tvoří skupina hvězd na modrém poli. Kolik hvězd je na vlajce EU?,"['A) 6.', 'B) 12.', 'C) 27.', 'D) 44.']",B
230,Kdo podle pověsti vystoupil na horu Říp?,"['A) Praotec Čech.', 'B) Přemysl Oráč.', 'C) Kněžna Libuše.', 'D) Vladyka Horymír.']",A
231,Která bitva ukončila v roce 1434 husitské náboženské války?,"['A) Bitva u Lipan.', 'B) Bitva u Slavkova.', 'C) Bitva na Bílé hoře.', 'D) Bitva na Moravském poli.']",A
232,Jan Žižka má jezdeckou sochu na vrchu Vítkově v Praze. Kdo byl Jan Žižka?,"['A) Český král.', 'B) Katolický kněz.', 'C) Husitský bojovník.', 'D) Renesanční umělec.']",C
233,"Jak se podle pověstí jmenuje kněžna, která předpověděla slávu Prahy?","['A) Šárka.', 'B) Vlasta.', 'C) Libuše.', 'D) Ludmila.']",C
234,"Jak se jmenovali bratři, kteří šířili křesťanství na Velké Moravě?","['A) Cyril a Metoděj.', 'B) Jaromír a Oldřich.', 'C) Václav a Boleslav.', 'D) Spytihněv a Vratislav.']",A
235,"Jak se jmenoval první český rod knížat a králů, ke kterému patřil i svatý Václav?","['A) Jagellonci.', 'B) Přemyslovci.', 'C) Habsburkové.', 'D) Lucemburkové.']",B
236,Kdo byl mistr Jan Hus?,"['A) Český král.', 'B) Český lékař.', 'C) Český cestovatel.', 'D) Český reformátor církve.']",D
237,Ze kterého rodu byl slavný český král a římský císař Karel IV.?,"['A) Z rodu Jagellonců.', 'B) Z rodu Habsburků.', 'C) Z rodu Lucemburků.', 'D) Z rodu Přemyslovců.']",C
238,Kdo založil první českou univerzitu?,"['A) Karel  IV.', 'B) Jiří z Poděbrad.', 'C) Přemysl Otakar II.', 'D) Vladislav Jagellonský.']",A
239,Dcera krále Přemysla Otakara I. založila ve 13. století v Praze klášter a pečovala o nemocné a chudé. V roce 1989 ji papež prohlásil za svatou. Jak se tato žena jmenovala?,"['A) Alžběta.', 'B) Anežka.', 'C) Hedvika.', 'D) Markéta.']",B
240,"Na přelomu 16. a 17. století se Praha stala kulturním centrem Evropy. Jak se jmenoval panovník, který tehdy v Čechách vládl?","['A) Rudolf II.', 'B) Václav II.', 'C) František II.', 'D) Ferdinand II.']",A
241,Který rod začal vládnout Českému království v roce 1526 a vládl až do roku 1918?,"['A) Jagellonci.', 'B) Přemyslovci.', 'C) Habsburkové.', 'D) Lucemburkové.']",C
242,"V roce 1618 se čeští nekatoličtí šlechtici postavili proti císaři. Tato událost začala válku, která se rozšířila téměř po celé Evropě. Jak se tato válka jmenuje?","['A) Zimní válka.', 'B) Třicetiletá válka.', 'C) Prusko-rakouská válka.', 'D) Válka o rakouské dědictví.']",B
243,"Ve kterém městě se odehrává pověst o Golemovi, kterého stvořil rabi Löw?","['A) V Plzni.', 'B) V Praze.', 'C) V Jihlavě.', 'D) V Ostravě.']",B
244,"V České republice se 28. března slaví Den učitelů a připomíná se narození ""učitele národů"". Koho Češi považují za ""učitele národů""?","['A) Jana Amose Komenského.', 'B) Karla Havlíčka Borovského.', 'C) Tomáše Garrigua Masaryka.', 'D) Františka Ladislava Čelakovského.']",A
245,"Jak se jmenovala slavná císařovna, která vládla v českých zemích v 18. století?","['A) Marie Terezie.', 'B) Marie Antoinetta.', 'C) Kunhuta Uherská.', 'D) Eliška Přemyslovna.']",A
246,České země byly od roku 1867 součástí Rakouska-Uherska. Kdy přestalo existovat Rakousko-Uhersko?,"['A) V roce 1914.', 'B) V roce 1918.', 'C) V roce 1938.', 'D) V roce 1948.']",B
247,Jak se říká rozvoji české kultury v 19. století?,"['A) Jaro národů.', 'B) Normalizace.', 'C) Národní obrození.', 'D) Sametová revoluce.']",C
248,"V roce 1618 se protestanté v českých zemích vzbouřili proti císaři, ale o dva roky později byli poraženi. Ve které bitvě císař porazil tyto protestanty?","['A) U Lipan.', 'B) Na Vítkově.', 'C) Na Bílé hoře.', 'D) Na Moravském poli.']",C
249,Který panovník zavedl v českých zemích povinnou školní docházku pro děti?,"['A) Josef II.', 'B) Rudolf II.', 'C) Marie Terezie.', 'D) František Josef I.']",C
250,"Co pro Československo znamenala mnichovská dohoda, kterou podepsalo Německo a další tři státy v září 1938?","['A) Začátek války.', 'B) Obsazení Prahy.', 'C) Ztrátu pohraničí.', 'D) Ztrátu Slovenska.']",C
251,"Jak se jmenovala jedna z českých obcí, kterou Němci po atentátu na Reinharda Heydricha v roce 1942 zcela zničili?","['A) Lidice.', 'B) Stadice.', 'C) Hrusice.', 'D) Věstonice.']",A
252,"Jak se jmenoval československý prezident, který žil za 2. světové války ve Velké Británii?","['A) Edvard Beneš.', 'B) Klement Gottwald.', 'C) Antonín Zápotocký.', 'D) Tomáš Garrigue Masaryk.']",A
253,Které velké armády osvobodily území Československa v roce 1945?,"['A) Americká a anglická.', 'B) Americká a sovětská.', 'C) Americká a kanadská.', 'D) Americká a francouzská.']",B
254,Co se stalo 17. listopadu 1939 na českém území?,"['A) Nacisté zavřeli vysoké školy.', 'B) Nacisté zcela zničili obec Lidice.', 'C) Armády zemí Varšavské smlouvy obsadily Československo.', 'D) Americká a sovětská armáda osvobodily území Československa.']",A
255,Kdo se stal prvním československým prezidentem v roce 1918?,"['A) T. G. Masaryk.', 'B) Edvard Beneš.', 'C) Karel Kramář.', 'D) Alois Rašín.']",A
256,"Jak se jmenoval zastupující říšský protektor, na kterého spáchali Gabčík a Kubiš v roce 1942 v Praze atentát?","['A) K. H. Frank.', 'B) Joseph Goebbels.', 'C) Hermann Göring.', 'D) Reinhard Heydrich.']",D
257,Který den si Česká republika připomíná konec druhé světové války - Den vítězství?,"['A) 6. července.', 'B) 8. května.', 'C) 28. října.', 'D) 28. září.']",B
258,Která historická událost předcházela vzniku Československa v roce 1918?,"['A) Sametová revoluce.', 'B) První světová válka.', 'C) Druhá světová válka.', 'D) Světová hospodářská krize.']",B
259,Kdy vznikl samostatný československý stát?,"['A) 29. září 1938.', 'B) 1. ledna 1993.', 'C) 28. října 1918.', 'D) 8. května 1945.']",C
260,"Kdo se stal československým prezidentem v roce 1948 poté, co komunistická strana převzala moc ve státě?","['A) Edvard Beneš.', 'B) Klement Gottwald.', 'C) Antonín Zápotocký.', 'D) Tomáš Garrigue Masaryk.']",B
261,"Jak se jmenoval student, který se upálil v lednu 1969 v Praze na Václavském náměstí?","['A) Jan Palach.', 'B) Jan Opletal.', 'C) Martin Šmíd.', 'D) Václav Sedláček.']",A
262,Jak dlouho trvala totalitní vláda Komunistické strany Československa?,"['A) Přibližně 10 let.', 'B) Přibližně 20 let.', 'C) Přibližně 30 let.', 'D) Přibližně 40 let.']",D
263,"Jak se jmenoval dokument, kterým někteří občané v 70. letech 20. století protestovali proti komunistickému režimu?","['A) Poučení z krizového vývoje.', 'B) Několik vět.', 'C) 2 000 slov.', 'D) Charta 77.']",D
264,Která významná událost české historie se stala 21. srpna 1968?,"['A) Začala okupace Československa vojsky Varšavské smlouvy.', 'B) Z Československa se stala federativní republika.', 'C) Na protest proti okupaci se upálil Jan Palach.', 'D) Vznikl samostatný český a slovenský stát.']",A
265,Kdy začala v Československu sametová revoluce?,"['A) 8. května 1945.', 'B) 25. února 1948.', 'C) 17. listopadu 1939.', 'D) 17. listopadu 1989.']",D
